[2015, 10]	53898497955.07804
[2015, 12]	55899526672.35486
[2015, 9]	56512934320.02001
[2016, 11]	24634294365.279953
[2016, 2]	69180681134.38849
[2016, 4]	23359978331.67677
[2016, 6]	23021831286.57444
[2016, 8]	22407628763.365383
[2017, 10]	17509171844.770706
[2017, 12]	33423472930.410748
[2017, 1]	22507570807.719795
[2017, 3]	23232083087.909393
[2017, 5]	23568661138.035034
[2017, 7]	25463022668.144382
[2017, 9]	30676555381.728302
[2018, 11]	16034859008.681648
[2018, 2]	23636574203.828976
[2018, 4]	13149523170.458775
[2018, 6]	16536952425.540327
[2018, 8]	18478650928.73732
[2019, 1]	14611816445.785303
[2019, 3]	18091340267.246918
[2019, 5]	14480574461.419483
[2015, 11]	53607614201.796776
[2015, 8]	160356354969.0582
[2016, 10]	32113146198.902683
[2016, 12]	50318068074.68128
[2016, 1]	56596270931.31685
[2016, 3]	32805967466.947655
[2016, 5]	23747073761.791187
[2016, 7]	22619213302.82447
[2016, 9]	25262249340.116425
[2017, 11]	15312465314.693544
[2017, 2]	23047230327.254303
[2017, 4]	22357075153.737774
[2017, 6]	30201664896.648643
[2017, 8]	25903650367.898697
[2018, 10]	14527572489.594873
[2018, 12]	16338844844.014668
[2018, 1]	52106060636.84502
[2018, 3]	15554999714.874083
[2018, 5]	17414613148.436962
[2018, 7]	27520561081.02132
[2018, 9]	15208159827.250362
[2019, 2]	28940599438.14876
[2019, 4]	11573133401.384796
[2019, 6]	15067557451.333876
